                    _readMarks	     8	              TK_FUNID	 ------	             function	 yes	                 ----
                          ----	 -----	                ------	 -----	           moreFields	  no	      fieldDefinition


                     chemistry	    24	            TK_FIELDID	 ------	      fieldDefinition	 yes	                 ----


                          ----	 -----	                ------	 -----	     fieldDefinitions	  no	           moreFields


                          ----	 -----	                ------	 -----	         mainFunction	  no	      typeDefinitions


                          ----	 -----	                ------	 -----	              program	  no	         mainFunction


                       #mmarks	    28	           TK_RECORDID	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                            d4	    28	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         mainFunction	  no	         declarations


                           int	    31	                TK_INT	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                            b5	    31	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                           int	    32	                TK_INT	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                     d5cb34567	    32	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                       #mmarks	    33	           TK_RECORDID	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                          b5c6	    33	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                            b5	    36	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                             1	    36	                TK_NUM	      1	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	         mainFunction	  no	           otherStmts


                     d5cb34567	    37	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                          b5c6	    38	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                         maths	    38	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          0.00	    38	               TK_RNUM	   0.00	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                          b5c6	    39	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                       physics	    39	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          0.00	    39	               TK_RNUM	   0.00	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                          b5c6	    40	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                     chemistry	    40	            TK_FIELDID	 ------	               new_24	 yes	                 ----


                          ----	 -----	                ------	 -----	        singleOrRecId	  no	               new_24


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          0.00	    40	               TK_RNUM	   0.00	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            b5	    41	                 TK_ID	 ------	                  var	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	                 stmt	  no	    booleanExpression


                            <=	    41	                 TK_LE	 ------	         relationalOp	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	         relationalOp


                     d5cb34567	    41	                 TK_ID	 ------	                  var	 yes	                 ----


                          ----	 -----	                ------	 -----	    booleanExpression	  no	                  var


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                            d4	    42	                 TK_ID	 ------	     outputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	     outputParameters


                          ----	 -----	                ------	 -----	                 stmt	  no	                 stmt


                    _readMarks	    42	              TK_FUNID	 ------	                 stmt	 yes	                 ----


                            b5	    42	                 TK_ID	 ------	      inputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	      inputParameters


                          b5c6	    43	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          b5c6	    43	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                             +	    43	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                            d4	    43	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	           otherStmts


                            b5	    45	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                            b5	    45	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                             +	    45	               TK_PLUS	 ------	 lowPrecedenceOperators	 yes	                 ----


                          ----	 -----	                ------	 -----	             expPrime	  no	 lowPrecedenceOperators


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	             expPrime


                             1	    45	                TK_NUM	      1	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	             expPrime	  no	                 term


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            d4	    47	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          b5c6	    47	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                             /	    47	                TK_DIV	 ------	 highPrecedenceOperator	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	 highPrecedenceOperator


                          ----	 -----	                ------	 -----	                 term	  no	            termPrime


                     d5cb34567	    47	                 TK_ID	 ------	               factor	 yes	                 ----


                          ----	 -----	                ------	 -----	            termPrime	  no	               factor


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            d4	    48	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                         maths	    48	            TK_FIELDID	 ------	                 temp	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	                 temp


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            d4	    49	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                       physics	    49	            TK_FIELDID	 ------	                 temp	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	                 temp


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                            d4	    50	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                     chemistry	    50	            TK_FIELDID	 ------	                 temp	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	                 temp


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


